Product_URL,Product_Image_URL,Product_Tagging,Product_Name,Product_Description,Original_Price,Discount_Price,Sizes_Available,Vouchers,Available_Colors,Color_Shown,Style_Code,Rating_Score,Review_Count
https://www.nike.com/ph/t/dunk-low-next-nature-shoes-wbxcmN/DD1873-113,"https://static.nike.com/a/images/t_default/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/8d6b6d0d-c499-417e-a93a-7381652c1cac/W+NIKE+DUNK+LOW+NEXT+NATURE.png","Recycled Materials, SUSTAINABLE_MATERIALS",Nike Dunk Low Next Nature,Women's Shoes,"PHP 5,895.00","PHP 3,832.00",,,1 Colour,White/Light Smoke Grey,DD1873-113,,
https://www.nike.com/ph/t/dunk-low-next-nature-shoes-wbxcmN/DD1873-112,"https://static.nike.com/a/images/t_default/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/1e2ce8a9-1452-455c-b637-beca735ab9ac/W+NIKE+DUNK+LOW+NEXT+NATURE.png","Recycled Materials, SUSTAINABLE_MATERIALS",Nike Dunk Low Next Nature,Women's Shoes,"PHP 5,895.00","PHP 3,832.00",,,1 Colour,White/Elemental Pink,DD1873-112,,
https://www.nike.com/ph/t/pegasus-road-running-shoes-9XMSK0/HQ2593-500,"https://static.nike.com/a/images/t_default/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/df49a13c-66b2-41ed-9b3f-57a8f8922e96/W+NIKE+PEGASUS+PREMIUM.png","Bestseller, BEST_SELLER",Nike Pegasus Premium,Women's Road Running Shoes,"PHP 11,995.00","PHP 8,397.00",,,1 Colour,Barely Grape/Violet Mist/Sapphire/Purple Dynasty,HQ2593-500,,
https://www.nike.com/ph/t/pegasus-road-running-shoes-9XMSK0/HQ2593-502,"https://static.nike.com/a/images/t_default/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/04af16c7-2f3e-4961-ac3c-0272b554e53d/W+NIKE+PEGASUS+PREMIUM.png","Bestseller, BEST_SELLER",Nike Pegasus Premium,Women's Road Running Shoes,"PHP 11,995.00","PHP 7,797.00",,,1 Colour,Tattoo/Football Grey/Hydrogen Blue/Off-Noir,HQ2593-502,,
https://www.nike.com/ph/t/book-2-rising-ep-basketball-shoes-zur8OGal/IB6688-001,"https://static.nike.com/a/images/t_default/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/65929155-05f5-49cf-80b0-ac4818255096/BOOK+2+EP.png","Bestseller, BEST_SELLER",Book 2 'Rising' EP,Basketball Shoes,"PHP 8,095.00","PHP 6,476.00",,,1 Colour,Black/Safety Orange/Sundial/Multi-Colour,IB6688-001,,
https://www.nike.com/ph/t/revolution-8-road-running-shoes-WdoyZvVX/HJ9198-105,"https://static.nike.com/a/images/t_default/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/761c4b08-f546-44d6-8c2a-ffd1a88a54f9/NIKE+REVOLUTION+8.png","Bestseller, BEST_SELLER",Nike Revolution 8,Men's Road Running Shoes,"PHP 3,295.00","PHP 2,307.00",,,1 Colour,White/Pure Platinum/Glacier Blue/Black,HJ9198-105,,
https://www.nike.com/ph/t/air-jordan-1-low-se-shoes-WluTYInM/IR0842-010,"https://static.nike.com/a/images/t_default/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/8c821c35-cf09-40de-8fe0-71fbfb607d88/AIR+JORDAN+1+LOW+SE.png","Bestseller, BEST_SELLER",Air Jordan 1 Low SE,Men's Shoes,"PHP 7,295.00","PHP 5,836.00",,,1 Colour,Black/Black/Racer Pink/Pale Ivory,IR0842-010,,
https://www.nike.com/ph/t/jordan-franchise-shower-slides-i928MvhE/HQ2163-201,"https://static.nike.com/a/images/t_default/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/c2b9325c-0c70-4e81-a911-aa2b7d792d6b/JORDAN+FRANCHISE+SLIDE+SH.png","Bestseller, BEST_SELLER",Jordan Franchise,Shower Slides,"PHP 1,895.00","PHP 1,327.00",,,1 Colour,Medium Olive/Sail,HQ2163-201,5,
https://www.nike.com/ph/t/jordan-franchise-shower-slides-i928MvhE/HQ2163-200,"https://static.nike.com/a/images/t_default/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/dfeec947-ddbd-40bb-9695-148233980c9b/JORDAN+FRANCHISE+SLIDE+SH.png","Bestseller, BEST_SELLER",Jordan Franchise,Shower Slides,"PHP 1,895.00","PHP 1,327.00",,,1 Colour,Khaki/Black,HQ2163-200,5,
https://www.nike.com/ph/t/jordan-franchise-shower-slides-i928MvhE/HQ2163-100,"https://static.nike.com/a/images/t_default/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/d9e15295-6bb7-407f-b588-2fb19b3074bb/JORDAN+FRANCHISE+SLIDE+SH.png","Bestseller, BEST_SELLER",Jordan Franchise,Shower Slides,"PHP 1,895.00","PHP 1,327.00",,,1 Colour,White/Black,HQ2163-100,5,
https://www.nike.com/ph/t/luka-5-luka-lifestyle-pf-basketball-shoes-DGKjPNHW/HV8087-002,"https://static.nike.com/a/images/t_default/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/2b144d06-9c8e-4dd2-9f62-fc3c5a64468c/JORDAN+LUKA+5+PF.png","Bestseller, BEST_SELLER",Luka 5 'Luka Lifestyle' PF,Basketball Shoes,"PHP 7,595.00","PHP 5,317.00",,,1 Colour,Black/Bright Crimson,HV8087-002,,
https://www.nike.com/ph/t/sportswear-futura-365-cross-body-bag-PExW1jWH/HV6621-634,"https://static.nike.com/a/images/t_default/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/236f5766-f935-439e-ad55-457032d0ba03/W+NSW+FUTURA+365+CRSSBDY-SWIRL.png","Recycled Materials, SUSTAINABLE_MATERIALS",Nike Sportswear Futura 365,Women's Cross-Body Bag (3L),"PHP 1,395.00",PHP 907.00,,,1 Colour,Sweet Beet/Burgundy Crush/Burgundy Crush,HV6621-634,,
