Rank,Product_URL,Product_Image_URL,Product_Tagging,Product_Name,Product_Description,Original_Price,Discount_Price,Sizes_Available,Vouchers,Available_Colors,Color_Shown,Style_Code,Rating_Score,Review_Count
1,https://www.nike.com/ph/t/p-6000-shoes-Cf06tP/BV1021-110,"https://static.nike.com/a/images/t_default/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/873a17ee-d4be-49e2-804b-88be84bab00e/W+NIKE+P-6000.png","Bestseller, BEST_SELLER",Nike P-6000,Women's Shoes,"PHP 6,195.00","PHP 4,337.00",,,1 Colour,White/Metallic Silver/Black/Tattoo,BV1021-110,4.9,501
2,https://www.nike.com/ph/t/air-jordan-1-mid-older-shoes-wqHdzW/DQ8423-002,"https://static.nike.com/a/images/t_default/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/40f9cc86-2503-4ca8-abf0-a1eebfc0b003/AIR+JORDAN+1+MID+%28GS%29.png","Bestseller, BEST_SELLER",Air Jordan 1 Mid,Older Kids' Shoes,"PHP 4,995.00","PHP 3,247.00",,,1 Colour,Black/Aura/Squadron Blue/Black,DQ8423-002,4.9,314
3,https://www.nike.com/ph/t/jordan-1-mid-younger-shoes-2gFmNs/DQ8424-002,"https://static.nike.com/a/images/t_default/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/1dfddcc3-bee8-4558-bcea-b730bd27b411/JORDAN+1+MID+%28PS%29.png","Bestseller, BEST_SELLER",Jordan 1 Mid,Younger Kids' Shoes,"PHP 3,395.00","PHP 2,377.00",,,1 Colour,Black/Aura/Squadron Blue/Black,DQ8424-002,4.9,198
4,https://www.nike.com/ph/t/air-jordan-1-mid-shoes-86f1ZW/BQ6472-122,"https://static.nike.com/a/images/t_default/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/9cf2d5be-40de-4108-80f5-9e57fd926f38/WMNS+AIR+JORDAN+1+MID.png","Bestseller, BEST_SELLER",Air Jordan 1 Mid,Women's Shoes,"PHP 7,095.00","PHP 4,612.00",,,1 Colour,Sail/Enigma Stone/Coconut Milk/Particle Rose,BQ6472-122,4.8,730
5,https://www.nike.com/ph/t/jordan-spizike-low-shoes-pBZk7c/FQ1759-009,"https://static.nike.com/a/images/t_default/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/b5563ef0-5697-4046-8158-6e3412128060/JORDAN+SPIZIKE+LOW.png","Bestseller, BEST_SELLER",Jordan Spizike Low,Men's Shoes,"PHP 8,895.00","PHP 6,227.00",,,1 Colour,Black/Wolf Grey/White/Gym Red,FQ1759-009,4.8,253
5,https://www.nike.com/ph/t/jordan-spizike-low-shoes-pBZk7c/FQ1759-010,"https://static.nike.com/a/images/t_default/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/47a56696-76e1-40f5-90b2-885fb9fa3bcb/JORDAN+SPIZIKE+LOW.png","Bestseller, BEST_SELLER",Jordan Spizike Low,Men's Shoes,"PHP 8,895.00","PHP 5,782.00",,,1 Colour,Black/White/Anthracite/White,FQ1759-010,4.8,253
7,https://www.nike.com/ph/t/air-max-90-shoes-kRsBnD/DM0029-020,"https://static.nike.com/a/images/t_default/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/157d316f-4eee-48a8-bfb7-e6d5a9be01d8/AIR+MAX+90.png","Bestseller, BEST_SELLER",Nike Air Max 90,Men's Shoes,"PHP 6,595.00","PHP 4,617.00",,,1 Colour,Smoke Grey/Black/Dark Smoke Grey/Photon Dust,DM0029-020,4.8,191
7,https://www.nike.com/ph/t/air-max-90-shoes-kRsBnD/DM0029-119,"https://static.nike.com/a/images/t_default/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/301f36ed-d28e-4d36-a7ba-5aac279e03f4/AIR+MAX+90.png","Bestseller, BEST_SELLER",Nike Air Max 90,Men's Shoes,"PHP 6,595.00","PHP 4,617.00",,,1 Colour,White/College Grey/Vast Grey/Laser Orange,DM0029-119,4.8,191
9,https://www.nike.com/ph/t/air-force-1-07-shoes-VWCc04/DV0788-001,"https://static.nike.com/a/images/t_default/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/3f3e7049-5c99-428c-abcd-e246b086f2ed/AIR+FORCE+1+%2707.png","Bestseller, BEST_SELLER",Nike Air Force 1 '07,Men's Shoes,"PHP 6,195.00","PHP 4,337.00",,,1 Colour,Black/Black/White,DV0788-001,4.8,176
10,https://www.nike.com/ph/t/air-max-portal-shoes-JDRVJw/HF3053-400,"https://static.nike.com/a/images/t_default/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/98d31aba-2d9a-4f94-a0e9-cbbb8647a79f/W+NIKE+AIR+MAX+PORTAL.png","Recycled Materials, SUSTAINABLE_MATERIALS",Nike Air Max Portal,Women's Shoes,"PHP 6,195.00","PHP 3,717.00",,,1 Colour,Midnight Navy/Summit White,HF3053-400,4.8,154
10,https://www.nike.com/ph/t/air-max-portal-shoes-JDRVJw/HF3053-020,"https://static.nike.com/a/images/t_default/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/a89ae01a-90ab-4100-b43b-6becf9858e64/W+NIKE+AIR+MAX+PORTAL.png","Bestseller, BEST_SELLER",Nike Air Max Portal,Women's Shoes,"PHP 6,195.00","PHP 4,337.00",,,1 Colour,Black/Black/White,HF3053-020,4.8,154
12,https://www.nike.com/ph/t/air-max-dn-shoes-FtLNfm/DV3337-006,"https://static.nike.com/a/images/t_default/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/0083d873-114c-4a76-9dd3-82aa3c1b168f/AIR+MAX+DN.png","Recycled Materials, SUSTAINABLE_MATERIALS",Nike Air Max Dn,Shoes,"PHP 8,395.00","PHP 5,037.00",,,1 Colour,Black/Black/Metallic Dark Grey/Black,DV3337-006,4.7,556
